,bbrefID,Date,G,Age,Team,is_away,Opp,win_loss,goals,assists,pts,plus_minus,pim,g_ev,g_pp,g_sh,g_gw,a_ev,a_pp,a_sh,shots,shooting_pct,shifts,toi,hits,blocks,fow,fol,fo_pct
0,hymanza01,2017-10-04,1,25-117,TOR,@,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,15:02,0,0,0,1,0.0
1,hymanza01,2017-10-07,2,25-120,TOR,,NYR,W,2,0,2,2,0,2,0,0,0,0,0,0,4,50.0,27,17:31,1,1,0,0,
0,kulemni01,2017-10-06,1,31-084,NYI,@,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:56,0,1,1,1,50.0
1,kulemni01,2017-10-07,2,31-085,NYI,,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,14:44,1,2,0,0,
0,paquece01,2017-10-06,1,24-054,TBL,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:35,4,1,3,4,42.9
1,paquece01,2017-10-07,2,24-055,TBL,@,FLA,L,0,0,0,0,4,0,0,0,0,0,0,0,0,,14,8:26,4,1,5,7,41.7
0,fischch01,2017-10-05,1,20-173,ARI,@,ANA,L,1,0,1,0,4,0,1,0,0,0,0,0,2,50.0,24,12:22,3,0,1,1,50.0
0,coleia01,2017-10-04,1,28-225,PIT,,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,15:40,1,1,0,0,
1,coleia01,2017-10-05,2,28-226,PIT,@,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,28,19:32,3,2,0,0,
2,coleia01,2017-10-07,3,28-228,PIT,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,6,5:16,1,1,0,0,
0,hanseja01,2017-10-04,1,31-203,SJS,,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,15:38,1,0,1,0,100.0
1,hanseja01,2017-10-07,2,31-206,SJS,,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,14:56,1,0,1,0,100.0
0,foligma01,2017-10-05,1,26-056,MIN,@,DET,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,13:13,0,,,,
1,foligma01,2017-10-07,2,26-058,MIN,@,CAR,L-SO,0,1,1,-1,0,0,0,0,0,1,0,0,0,,27,17:54,7,1,0,2,0.0
0,panarar01,2017-10-06,1,25-341,CBJ,,NYI,W,0,3,3,2,0,0,0,0,0,2,1,0,1,0.0,21,18:59,0,0,0,0,
1,panarar01,2017-10-07,2,25-342,CBJ,@,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,19:01,0,0,0,0,
0,fioregi01,2017-10-07,1,21-055,ANA,,PHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:53,0,0,0,0,
0,sbisalu01,2017-10-06,1,27-249,VEG,@,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,23,18:16,2,1,0,0,
1,sbisalu01,2017-10-07,2,27-250,VEG,@,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,21:06,4,2,0,0,
0,burmial01,2017-10-07,1,25-351,VAN,,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,13:20,0,0,0,2,0.0
0,martijo01,2017-10-05,1,25-072,ARI,@,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,12:57,2,0,0,3,0.0
1,martijo01,2017-10-07,2,25-074,ARI,,VEG,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,11:04,1,1,0,0,
0,bozakty01,2017-10-04,1,31-199,TOR,@,WPG,W,0,2,2,1,0,0,0,0,0,1,1,0,0,,17,11:37,0,0,10,5,66.7
1,bozakty01,2017-10-07,2,31-202,TOR,,NYR,W,1,0,1,-2,0,1,0,0,1,0,0,0,4,25.0,25,17:32,2,0,12,12,50.0
0,brodzjo01,2017-10-05,1,24-108,LAK,,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:59,1,0,0,0,
0,hischni01,2017-10-07,1,18-276,NJD,,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,19,15:44,2,0,4,5,44.4
0,hjalmni01,2017-10-05,1,30-121,ARI,@,ANA,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,30,22:09,0,2,0,0,
1,hjalmni01,2017-10-07,2,30-123,ARI,,VEG,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,30,24:26,1,4,0,0,
0,werenza01,2017-10-06,1,20-079,CBJ,,NYI,W,1,0,1,1,0,0,1,0,0,0,0,0,2,50.0,25,19:07,0,1,0,0,
1,werenza01,2017-10-07,2,20-080,CBJ,@,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,26,23:33,2,2,0,0,
0,nordsjo02,2017-10-07,1,25-224,CAR,,MIN,W,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,18,11:32,0,1,0,1,0.0
0,eicheja01,2017-10-05,1,20-342,BUF,,MTL,L-SO,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,27,19:22,1,1,4,8,33.3
1,eicheja01,2017-10-07,2,20-344,BUF,@,NYI,L,1,1,2,-1,2,1,0,0,0,0,0,1,3,33.3,24,21:02,1,0,3,7,30.0
0,myersty01,2017-10-04,1,27-245,WPG,,TOR,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,27,23:24,2,2,0,0,
1,myersty01,2017-10-07,2,27-248,WPG,@,CGY,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,29,21:22,0,0,0,0,
0,pysykma01,2017-10-06,1,25-268,FLA,@,TBL,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,26,18:45,1,2,0,0,
