,bbrefID,Date,G,Age,Team,is_away,Opp,win_loss,goals,assists,pts,plus_minus,pim,g_ev,g_pp,g_sh,g_gw,a_ev,a_pp,a_sh,shots,shooting_pct,shifts,toi,hits,blocks,fow,fol,fo_pct
0,kerota01,2017-10-05,1,25-073,CHI,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,7:35,0,1,3,5,37.5
0,nashri02,2017-10-05,1,28-149,BOS,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,16:37,2,0,8,5,61.5
0,parayco01,2017-10-04,1,24-145,STL,@,PIT,W,1,0,1,-1,0,0,1,0,0,0,0,0,1,100.0,30,21:36,1,1,0,0,
1,parayco01,2017-10-07,2,24-148,STL,,DAL,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,28,21:26,1,2,0,0,
0,stastpa01,2017-10-04,1,31-281,STL,@,PIT,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,28,20:49,2,1,9,14,39.1
1,stastpa01,2017-10-07,2,31-284,STL,,DAL,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,29,21:39,5,1,11,11,50.0
0,sobotvl01,2017-10-04,1,30-094,STL,@,PIT,W,0,2,2,1,0,0,0,0,0,2,0,0,0,,25,18:43,5,0,0,2,0.0
1,sobotvl01,2017-10-07,2,30-097,STL,,DAL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,28,20:13,2,0,3,1,75.0
0,sustran01,2017-10-06,1,26-311,TBL,,FLA,W,0,0,0,-2,2,0,0,0,0,0,0,0,0,,17,12:59,0,1,0,0,
0,chimeja01,2017-10-06,1,38-157,NYI,@,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:57,2,1,0,0,
1,chimeja01,2017-10-07,2,38-158,NYI,,BUF,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,18,12:46,3,0,0,0,
0,nemetpa01,2017-10-05,1,25-239,COL,@,NYR,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,24,18:33,2,3,0,0,
1,nemetpa01,2017-10-07,2,25-241,COL,@,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,15:29,2,1,0,0,
0,nurseda01,2017-10-04,1,22-242,EDM,,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,24,18:38,1,1,0,0,
1,nurseda01,2017-10-07,2,22-245,EDM,@,VAN,L,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,27,18:46,2,1,0,0,
0,gagnesa01,2017-10-07,1,28-058,VAN,,EDM,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,18,13:33,0,0,2,1,66.7
0,zadorni01,2017-10-07,1,22-175,COL,@,NJD,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,23,19:12,4,3,0,0,
0,larkidy01,2017-10-05,1,21-067,DET,,MIN,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,21,15:04,1,1,6,6,50.0
1,larkidy01,2017-10-07,2,21-069,DET,@,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,27,19:29,2,0,9,8,52.9
0,quincky01,2017-10-05,1,32-054,MIN,@,DET,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,13:51,0,1,0,0,
1,quincky01,2017-10-07,2,32-056,MIN,@,CAR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,16:52,2,1,0,0,
0,burroal01,2017-10-05,1,36-177,OTT,,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:10,0,0,1,2,33.3
1,burroal01,2017-10-07,2,36-179,OTT,,DET,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,9:14,1,1,0,0,
0,methoma01,2017-10-06,1,32-107,DAL,,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28,17:59,2,5,0,0,
1,methoma01,2017-10-07,2,32-108,DAL,@,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,15:42,0,3,0,0,
0,guentja01,2017-10-04,1,22-363,PIT,,STL,L-OT,0,2,2,-1,2,0,0,0,0,1,1,0,0,,24,22:17,0,0,1,0,100.0
1,guentja01,2017-10-05,2,22-364,PIT,@,CHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,22,14:11,2,1,1,0,100.0
2,guentja01,2017-10-07,3,23-001,PIT,,NSH,W,1,0,1,2,2,1,0,0,0,0,0,0,2,50.0,23,15:48,2,1,1,2,33.3
0,smithbr05,2017-10-05,1,28-239,NYR,,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,16:28,1,1,0,0,
1,smithbr05,2017-10-07,2,28-241,NYR,@,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,24,14:49,0,1,0,0,
0,panikri01,2017-10-05,1,26-240,CHI,,PIT,W,1,1,2,4,0,1,0,0,0,1,0,0,4,25.0,22,15:49,1,1,0,0,
1,panikri01,2017-10-07,2,26-242,CHI,,CBJ,W,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,22,14:47,1,0,0,0,
0,callary01,2017-10-06,1,32-199,TBL,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,12:41,2,1,0,0,
1,callary01,2017-10-07,2,32-200,TBL,@,FLA,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,14:38,3,0,1,2,33.3
0,stewach02,2017-10-05,1,29-340,MIN,@,DET,L,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,15,11:24,2,0,0,0,
1,stewach02,2017-10-07,2,29-342,MIN,@,CAR,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,17,10:21,0,0,0,0,
0,phanedi01,2017-10-05,1,32-178,OTT,,WSH,L-SO,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,34,25:05,3,3,0,0,
1,phanedi01,2017-10-07,2,32-180,OTT,,DET,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,6,16.7,35,24:34,2,6,0,0,
0,arvidvi01,2017-10-05,1,24-180,NSH,@,BOS,L,1,1,2,0,0,1,0,0,0,0,1,0,4,25.0,29,16:59,0,3,0,0,
1,arvidvi01,2017-10-07,2,24-182,NSH,@,PIT,L,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,23,16:47,1,0,2,0,100.0
0,comphj,2017-10-05,1,22-180,COL,@,NYR,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,24,16:04,1,1,2,7,22.2
1,comphj,2017-10-07,2,22-182,COL,@,NJD,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,15:23,2,1,1,2,33.3
0,mckeggr01,2017-10-04,1,25-109,PIT,,STL,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,25,15:07,0,0,13,4,76.5
1,mckeggr01,2017-10-05,2,25-110,PIT,@,CHI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,24,16:20,1,4,7,9,43.8
2,mckeggr01,2017-10-07,3,25-112,PIT,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,15:27,0,0,4,7,36.4
0,namesvl01,2017-10-06,1,24-318,TBL,,FLA,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,21,17:06,3,0,3,4,42.9
1,namesvl01,2017-10-07,2,24-319,TBL,@,FLA,L,1,1,2,0,0,0,1,0,0,1,0,0,3,33.3,21,16:26,3,0,1,0,100.0
0,suterry01,2017-10-05,1,32-257,MIN,@,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,29,28:34,0,1,0,0,
1,suterry01,2017-10-07,2,32-259,MIN,@,CAR,L-SO,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,31,25:11,1,2,0,0,
0,grzelma01,2017-10-05,1,23-273,BOS,,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,12:11,0,0,0,0,
0,henriad01,2017-10-07,1,27-243,NJD,,COL,W,1,0,1,-1,0,0,1,0,0,0,0,0,1,100.0,25,16:37,0,0,9,7,56.3
0,fowleca01,2017-10-05,1,25-304,ANA,,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,31,26:20,0,1,0,0,
1,fowleca01,2017-10-07,2,25-306,ANA,,PHI,L-OT,1,0,1,-1,0,0,0,1,0,0,0,0,2,50.0,30,26:58,0,3,0,0,
0,millejt01,2017-10-05,1,24-205,NYR,,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,23,16:35,2,0,4,1,80.0
1,millejt01,2017-10-07,2,24-207,NYR,@,TOR,L,1,1,2,0,0,1,0,0,0,1,0,0,2,50.0,23,16:39,2,2,7,8,46.7
2,millejt01,2017-10-08,3,24-208,NYR,,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,16:17,1,0,10,3,76.9
0,smithcr01,2017-10-05,1,28-030,NSH,@,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,14:56,1,1,0,1,0.0
1,smithcr01,2017-10-07,2,28-032,NSH,@,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,14:18,2,0,0,0,
0,acciano01,2017-10-05,1,25-308,BOS,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9,4:42,1,1,0,0,
0,holdeni01,2017-10-08,1,30-146,NYR,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,17:14,1,0,0,0,
0,johnsty01,2017-10-06,1,27-069,TBL,,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,12:58,0,0,7,9,43.8
1,johnsty01,2017-10-07,2,27-070,TBL,@,FLA,L,1,0,1,-2,2,1,0,0,0,0,0,0,4,25.0,20,19:14,0,0,10,9,52.6
0,mcquaad01,2017-10-05,1,30-358,BOS,,NSH,W,0,0,0,-1,5,0,0,0,0,0,0,0,3,0.0,20,13:52,2,0,0,0,
0,troubja01,2017-10-04,1,23-220,WPG,,TOR,L,0,0,0,-4,2,0,0,0,0,0,0,0,5,0.0,30,24:45,4,4,0,0,
1,troubja01,2017-10-07,2,23-223,WPG,@,CGY,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,26,17:33,0,4,0,0,
0,wagnech01,2017-10-05,1,26-131,ANA,,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:39,4,0,3,7,30.0
1,wagnech01,2017-10-07,2,26-133,ANA,,PHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,13:27,4,0,2,2,50.0
0,donskjo01,2017-10-04,1,25-174,SJS,,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:38,0,1,0,1,0.0
1,donskjo01,2017-10-07,2,25-177,SJS,,LAK,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,21,10:04,0,0,0,0,
0,faulkju01,2017-10-07,1,25-201,CAR,,MIN,W,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,33,24:54,2,2,0,0,
0,provoiv01,2017-10-04,1,20-264,PHI,@,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,33,25:35,1,5,0,0,
1,provoiv01,2017-10-05,2,20-265,PHI,@,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,29,22:43,1,4,0,0,
2,provoiv01,2017-10-07,3,20-267,PHI,@,ANA,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,29,25:00,4,1,0,0,
0,smithre01,2017-10-06,1,26-188,VEG,@,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,20:58,0,0,0,0,
1,smithre01,2017-10-07,2,26-189,VEG,@,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,21,18:53,1,0,0,1,0.0
0,toewsjo01,2017-10-05,1,29-159,CHI,,PIT,W,0,1,1,4,2,0,0,0,0,1,0,0,1,0.0,24,16:32,1,1,11,10,52.4
1,toewsjo01,2017-10-07,2,29-161,CHI,,CBJ,W,1,1,2,2,0,1,0,0,0,0,1,0,1,100.0,26,18:36,0,0,14,6,70.0
0,scheima01,2017-10-04,1,24-203,WPG,,TOR,L,1,0,1,-1,0,1,0,0,0,0,0,0,4,25.0,23,19:02,0,0,11,10,52.4
1,scheima01,2017-10-07,2,24-206,WPG,@,CGY,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,23,18:19,0,2,13,11,54.2
0,chytifi01,2017-10-05,1,18-030,NYR,,COL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,11,7:40,1,0,1,5,16.7
1,chytifi01,2017-10-07,2,18-032,NYR,@,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,4:59,0,0,0,2,0.0
0,schmina01,2017-10-06,1,26-082,VEG,@,DAL,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,20,15:58,0,1,0,0,
1,schmina01,2017-10-07,2,26-083,VEG,@,ARI,W,1,1,2,0,0,1,0,0,0,1,0,0,3,33.3,29,25:18,0,5,0,0,
0,dekeyda01,2017-10-05,1,27-212,DET,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,23:47,2,3,0,0,
1,dekeyda01,2017-10-07,2,27-214,DET,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,33,22:21,5,3,0,0,
0,saadbr01,2017-10-05,1,24-343,CHI,,PIT,W,3,0,3,3,0,3,0,0,1,0,0,0,5,60.0,25,14:47,2,1,0,1,0.0
1,saadbr01,2017-10-07,2,24-345,CHI,,CBJ,W,1,1,2,2,0,0,1,0,1,1,0,0,5,20.0,26,19:08,0,0,0,0,
0,paveljo01,2017-10-04,1,33-085,SJS,,PHI,L,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,24,16:27,0,1,0,1,0.0
1,paveljo01,2017-10-07,2,33-088,SJS,,LAK,L,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,22,18:57,3,1,0,0,
0,ekmanol01,2017-10-05,1,26-080,ARI,@,ANA,L,0,1,1,-2,0,0,0,0,0,0,1,0,2,0.0,28,24:35,3,0,0,0,
1,ekmanol01,2017-10-07,2,26-082,ARI,,VEG,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,32,23:57,2,1,0,0,
0,vranaja01,2017-10-05,1,21-219,WSH,@,OTT,W,0,2,2,3,0,0,0,0,0,2,0,0,5,0.0,21,17:16,0,0,0,0,
1,vranaja01,2017-10-07,2,21-221,WSH,,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,15:15,0,0,1,0,100.0
0,webersh01,2017-10-05,1,32-052,MTL,@,BUF,W,0,1,1,1,0,0,0,0,0,0,0,1,1,0.0,33,29:30,7,4,0,0,
1,webersh01,2017-10-07,2,32-054,MTL,@,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,30,24:54,2,1,0,0,
2,webersh01,2017-10-08,3,32-055,MTL,@,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,30,24:18,3,2,0,0,
0,laddan01,2017-10-06,1,31-298,NYI,@,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:34,1,0,0,0,
1,laddan01,2017-10-07,2,31-299,NYI,,BUF,W,0,1,1,-1,0,0,0,0,0,0,0,1,3,0.0,22,17:02,2,0,0,0,
0,sundqos01,2017-10-04,1,23-195,STL,@,PIT,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,15:31,0,0,5,10,33.3
1,sundqos01,2017-10-07,2,23-198,STL,,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,10:13,1,0,5,6,45.5
0,duchema01,2017-10-05,1,26-262,COL,@,NYR,W,1,1,2,3,0,1,0,0,0,1,0,0,1,100.0,18,13:58,1,0,5,7,41.7
1,duchema01,2017-10-07,2,26-264,COL,@,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,22,17:33,0,0,10,5,66.7
0,tennyma01,2017-10-05,1,27-165,BUF,,MTL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,17:28,1,0,0,0,
1,tennyma01,2017-10-07,2,27-167,BUF,@,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,16:47,3,2,0,0,
0,wealjo01,2017-10-04,1,25-172,PHI,@,SJS,W,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,18,13:40,1,0,0,0,
1,wealjo01,2017-10-05,2,25-173,PHI,@,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:43,0,0,3,2,60.0
2,wealjo01,2017-10-07,3,25-175,PHI,@,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,23,18:11,0,1,1,1,50.0
0,rustbr01,2017-10-04,1,25-146,PIT,,STL,L-OT,0,2,2,0,0,0,0,0,0,2,0,0,0,,22,14:56,1,1,0,1,0.0
1,rustbr01,2017-10-05,2,25-147,PIT,@,CHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,25,15:55,5,2,0,0,
2,rustbr01,2017-10-07,3,25-149,PIT,,NSH,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,25,16:56,0,0,1,0,100.0
0,okposky01,2017-10-05,1,29-172,BUF,,MTL,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,19:58,0,1,0,0,
1,okposky01,2017-10-07,2,29-174,BUF,@,NYI,L,0,0,0,-3,2,0,0,0,0,0,0,0,3,0.0,22,18:12,0,0,1,0,100.0
0,sharppa01,2017-10-05,1,35-282,CHI,,PIT,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,26,19:34,0,0,2,1,66.7
1,sharppa01,2017-10-07,2,35-284,CHI,,CBJ,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,21,16:58,0,1,1,3,25.0
0,morrijo04,2017-10-04,1,22-190,WPG,,TOR,L,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,20,12:38,0,2,1,0,100.0
1,morrijo04,2017-10-07,2,22-193,WPG,@,CGY,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,24,20:44,1,3,0,0,
0,konectr01,2017-10-04,1,20-207,PHI,@,SJS,W,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,18,12:42,0,1,0,1,0.0
1,konectr01,2017-10-05,2,20-208,PHI,@,LAK,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,20,15:47,2,0,0,0,
2,konectr01,2017-10-07,3,20-210,PHI,@,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,15:27,1,0,0,0,
0,comeabl01,2017-10-05,1,31-229,COL,@,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,12:57,3,0,0,0,
1,comeabl01,2017-10-07,2,31-231,COL,@,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,9:42,0,0,0,0,
0,roussan01,2017-10-06,1,27-319,DAL,,VEG,L,0,0,0,-1,6,0,0,0,0,0,0,0,2,0.0,21,11:50,2,0,0,0,
1,roussan01,2017-10-07,2,27-320,DAL,@,STL,L,0,0,0,0,4,0,0,0,0,0,0,0,0,,23,14:13,1,0,0,0,
0,niedeni01,2017-10-05,1,25-027,MIN,@,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,18,17:40,3,1,0,0,
1,niedeni01,2017-10-07,2,25-029,MIN,@,CAR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,16:58,2,1,0,1,0.0
0,muellmi01,2017-10-07,1,22-200,NJD,,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,21:43,1,3,0,0,
0,milanso01,2017-10-06,1,21-147,CBJ,,NYI,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,20,15:55,0,0,0,0,
1,milanso01,2017-10-07,2,21-148,CBJ,@,CHI,L,1,0,1,-1,2,1,0,0,0,0,0,0,2,50.0,19,15:36,1,0,0,0,
0,cammami01,2017-10-05,1,35-119,LAK,,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,14:11,0,1,2,1,66.7
1,cammami01,2017-10-07,2,35-121,LAK,@,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,12:23,1,0,0,4,0.0
0,boedkmi01,2017-10-04,1,27-292,SJS,,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,18:10,0,0,0,0,
1,boedkmi01,2017-10-07,2,27-295,SJS,,LAK,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,21,13:30,0,1,0,0,
0,murphco02,2017-10-05,1,24-193,CHI,,PIT,W,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,25,15:08,0,,,,
1,murphco02,2017-10-07,2,24-195,CHI,,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,16:48,4,0,0,0,
0,hudonch01,2017-10-05,1,23-104,MTL,@,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,19,13:52,0,0,2,1,66.7
1,hudonch01,2017-10-07,2,23-106,MTL,@,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,19,14:38,4,0,1,2,33.3
2,hudonch01,2017-10-08,3,23-107,MTL,@,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:43,3,0,0,0,
0,pietral01,2017-10-04,1,27-259,STL,@,PIT,W,2,0,2,1,2,2,0,0,1,0,0,0,8,25.0,28,25:43,1,4,0,0,
1,pietral01,2017-10-07,2,27-262,STL,,DAL,W,0,2,2,1,0,0,0,0,0,1,1,0,3,0.0,29,27:20,0,1,0,0,
0,streima01,2017-10-05,1,39-298,MTL,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,12:39,0,0,0,0,
1,streima01,2017-10-07,2,39-300,MTL,@,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,24,15:47,2,0,0,0,
0,ryanbo01,2017-10-05,1,30-202,OTT,,WSH,L-SO,0,2,2,4,0,0,0,0,0,2,0,0,2,0.0,23,17:05,1,0,1,1,50.0
1,ryanbo01,2017-10-07,2,30-204,OTT,,DET,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,16:14,4,2,1,2,33.3
0,eriksjo02,2017-10-05,1,20-249,MIN,@,DET,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,15,10:56,0,0,3,8,27.3
1,eriksjo02,2017-10-07,2,20-251,MIN,@,CAR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,12:15,2,0,3,3,50.0
0,sissoco01,2017-10-05,1,23-334,NSH,@,BOS,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,26,13:09,1,0,5,5,50.0
1,sissoco01,2017-10-07,2,23-336,NSH,@,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,9:31,1,0,2,0,100.0
0,gudbrer01,2017-10-07,1,25-273,VAN,,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,17:03,2,3,0,0,
0,erikslo01,2017-10-07,1,32-082,VAN,,EDM,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,17:22,0,1,0,1,0.0
0,ruttaja02,2017-10-05,1,27-068,CHI,,PIT,W,0,1,1,4,2,0,0,0,0,1,0,0,1,0.0,29,20:45,1,1,0,0,
1,ruttaja02,2017-10-07,2,27-070,CHI,,CBJ,W,1,0,1,3,0,1,0,0,0,0,0,0,3,33.3,28,19:13,1,0,0,0,
0,petryje01,2017-10-05,1,29-300,MTL,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,18:54,1,2,0,0,
1,petryje01,2017-10-07,2,29-302,MTL,@,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,29,19:42,3,1,0,0,
2,petryje01,2017-10-08,3,29-303,MTL,@,NYR,L,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,28,20:17,1,1,0,0,
0,paajama01,2017-10-04,1,26-175,STL,@,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,13:28,2,0,0,0,
1,paajama01,2017-10-07,2,26-178,STL,,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,11:39,3,0,1,0,100.0
0,shorede01,2017-10-06,1,23-079,DAL,,VEG,L,0,1,1,-1,0,0,0,0,0,0,1,0,0,,23,14:43,0,0,2,2,50.0
1,shorede01,2017-10-07,2,23-080,DAL,@,STL,L,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,23,16:07,1,1,2,4,33.3
0,spezzja01,2017-10-06,1,34-115,DAL,,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,13:43,0,1,8,5,61.5
1,spezzja01,2017-10-07,2,34-116,DAL,@,STL,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,24,15:31,0,0,5,9,35.7
0,tkachma01,2017-10-04,1,19-297,CGY,@,EDM,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,20,16:01,1,0,0,0,
1,tkachma01,2017-10-07,2,19-300,CGY,,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,16:04,1,0,0,0,
0,trochvi01,2017-10-06,1,24-087,FLA,@,TBL,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,28,21:22,2,1,14,11,56.0
1,trochvi01,2017-10-07,2,24-088,FLA,,TBL,W,1,0,1,0,2,1,0,0,1,0,0,0,4,25.0,32,26:02,2,1,12,15,44.4
0,scevico01,2017-10-06,1,28-169,FLA,@,TBL,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,11:02,1,2,1,0,100.0
1,scevico01,2017-10-07,2,28-170,FLA,,TBL,W,1,0,1,0,2,1,0,0,0,0,0,0,2,50.0,19,12:40,1,1,0,0,
0,baertsv01,2017-10-07,1,25-002,VAN,,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,16:15,1,1,0,0,
0,mcdonry01,2017-10-05,1,28-114,NYR,,COL,L,0,0,0,-3,4,0,0,0,0,0,0,0,4,0.0,28,21:45,2,0,0,0,
1,mcdonry01,2017-10-07,2,28-116,NYR,@,TOR,L,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,35,26:24,1,1,0,0,
2,mcdonry01,2017-10-08,3,28-117,NYR,,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,20:25,2,1,0,0,
0,thompta01,2017-10-04,1,19-339,STL,@,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,11:26,0,0,0,0,
1,thompta01,2017-10-07,2,19-342,STL,,DAL,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,13,8:15,2,0,0,0,
0,manthan01,2017-10-05,1,23-019,DET,,MIN,W,1,2,3,0,0,0,1,0,0,1,1,0,2,50.0,18,13:18,0,1,1,0,100.0
1,manthan01,2017-10-07,2,23-021,DET,@,OTT,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,19,14:54,2,0,0,2,0.0
0,schalti01,2017-10-05,1,26-323,BOS,,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,15:30,3,2,4,7,36.4
0,karlsme01,2017-10-04,1,27-078,SJS,,PHI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,13:11,2,0,0,0,
